State,Name of Facility,HPMS Toll ID,Financing or Operating Authority,From,To,Miles,Kilometers,Rural/Urban,Interstate Route,"One Way (N,S,E,W)",Both Ways,Collection System -No,Collection -Yes/Kind,Non-Toll Miles,Remarks,Federal Authority Source,Fee Type,Max Pass. Fee,Min Pass. Fee,Passenger Cost per Vehicle-Mile,Max Truck Fee,Min Truck Fee,Truck Cost per Vehicle-Mile,
Alabama,Foley Beach Express,4,"Alinda Roads, LLC",AL 59 (in Foley),AL 180 (in Orange Beach),8.53,13.73,Minor Arterial,Rural,,,X,,Infrared,5.429,Private - Trucks +$1.00 per axle,,Fixed: rate based on axle/weight/price based on distance traveled,$3.50 ,$1.50 ,$0.18 ,$2.50 ,$2.50 ,$3.50 
California,Seventeen Mile Drive,17,Pebble Beach Company,Pacific Grove,Carmel,10.8,17.38,local,Urban,X,,,X,,,Private: Length is 17.3 Mi if complete circuit is made via Sloat Rd-Lopez Rd-Sunridge Rd-Constanilla Way-Los Altos Dr & Scenic Dr,,Fixed: rate based on axle/weight/price based on distance traveled,$9.50 ,$9.50 ,,,,
California,Route 91 Express Lanes,18,Orange County Transportation Authority,Orange/Riverside County Line,Highway 55,10,16.09,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,FASTRAK/Title 21/Tiris,,Project developed under Assembly Bill 680 (1989) private partnership law.  Utilizes DBOM.  Facility opened in 1995.,,Fixed variable: rate based on time of day,$10.25 ,$1.30 ,$0.28 ,$0.00 ,$0.00 ,$0.00 
California,"Eastern Trans. Corridor (Routes 261, 241, & 133)",19,CA Department of Trans; Orange County Trans Corridor Agencies,State Route 91,I-5 & State Route 133,24,38.62,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,FASTRAK/Title 21/Tiris,,Construction completed Feb. 1999.,,Fixed variable: rate based on time of day,,,,,,
California,Foothill Trans. Corridor (Route 241),20,CA Department of Trans; Trans Corridor Agencies,I-5 San Clemente,State Route 241; Eastern Corridor,28,45.06,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,FASTRAK/Title 21/Tiris,,Construction completed Jan. 1999.  Toll type also based on axels.  Details for revenue & traffic by truck not readily available.  Avg. cost per mile calculated includes trucks and passenger vehicles.,Section 129 Toll Agreement,Fixed variable: rate based on time of day,$2.50 ,$0.25 ,$33.32 ,$10.00 ,$0.25 ,$33.32 
California,San Joaquin Hills Trans Corridor (Route 73),21,CA Department of Trans; Trans Corridor Agencies,Newport Beach,San Juan Capistrano,15,24.14,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,FASTRAK/Title 21/Tiris,,Construction completed Nov 21. 1996.  Toll type also based on axels.  Details for revenue & traffic are not readily avail. though vehicle traffic accounts for 99% of overall traffic.  Calculated cost per mile includes truck revenue.,Section 129 Toll Agreement,Fixed variable: rate based on time of day,$4.75 ,$0.50 ,$41.70 ,$19.00 ,$0.50 ,$41.70 
California,Route 125,23,"California Transportation Ventures, Inc.",State Route 905,State Route 54,10,16.09,Principal Arterial - Other Freeways and Expressways,Urban,,,X,,FASTRAK/Title 21/Tiris,,Project developed under Assembly Bill 680 (1989) private partnership law.  Utilizes DBOM.  Facility opened in 2007.,Section 129 Toll Agreement,Fixed: rate based on axle/weight/price based on distance traveled,$3.85 ,$0.85 ,,$7.70 ,$1.70 ,
Colorado,Northwest Parkway,25,Northwest Parkway Public Highway Authority,"I-25, MP 228 in North Denver",96th Street (in City of Broomfield),11,17.7,Principal Arterial - Other Freeways and Expressways,Urban,,,X,,EXpress Toll - AVI,,"Opened Nov. 24, 2003; On August 30, 2007, the Parkway Authority signed a $603 million, 99 year concession agreement with Portugal based Brisa. Passenger vehicle rate is $3 for 11 mile trip.  Each additional axle is $3",Express Lanes Demo Program,Fixed: rate based on axle/weight/price based on distance traveled,$3.55 ,$1.05 ,$0.29 ,$13.60 ,$1.05 ,$1.23 
Colorado,E-470,26,E-470 Public Highway Authority,I-25 & C-470; Douglas County,I-25 & Northwest Parkway; Adams County,47,75.64,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,EXpress Toll and Automatic Vehicle ID(AVI),,Pass Veh toll rate is $11 for 46.10 mile trip.  Each additional axle is $11,,Fixed: rate based on axle/weight/price based on distance traveled,$15.95 ,$1.30 ,$0.24 ,$63.80 ,$1.30 ,$1.35 
Colorado,Pikes Peak Toll Road,299,City of Colorado Springs operates under a Term Special Use Permit issued by the US Forest Service,"Town of Cascade, US 24 west of Colorado Springs","Top of Pikes Peak Mountain -14, 110' elevation",19,30.58,local,Rural,,W,,X,,,"Road (39 miles) is owned by the Forest Service but operated by the City of Colorado Springs, which received a special use permit in the late 1940's to turn it into a toll road.  Toll is fixed $10 per person, $5 for kids, $40 max fee per vehicle.",,,$40.00 ,$10.00 ,$0.39 ,$40.00 ,$10.00 ,$0.39 
