State,Name of Facility,HPMS Toll ID,Financing or Operating Authority,From,To,Miles,Kilometers,Rural/Urban,Interstate Route,"One Way (N,S,E,W)",Both Ways,Collection System -No,Collection -Yes/Kind,Non-Toll Miles,Remarks,Federal Authority Source,Fee Type,Max Pass. Fee,Min Pass. Fee,Passenger Cost per Vehicle-Mile,Max Truck Fee,Min Truck Fee,Truck Cost per Vehicle-Mile
California,I-15 Value Pricing Project,16,San Diego Assoc of Gov; CA Dept of Trans,SR 56/ Ted Williams Pkwy,SR 52,8,12.87,Urban,15,,X,,FASTRAK/Title 21/Tiris,,Congestion pricing & Transit Dev. Demonstration Program using existing HOV lanes.,,,$8.00 ,$0.50 ,,,,
California,I-680 SMART Carpool Lanes,297,Alameda County Congestion Management Agency,SR 84/ Pleasanton,SR 237 Milpitas,14,22.53,Urban,680,S,,,FASTRAK/Title 21/Tiris,,High Occupancy Toll lane using existing HOV lane,Value Pricing Pilot Program,Dynamic variable: rate based on current traffic conditions,$8.00 ,$0.30 ,,$0.00 ,$0.00 ,
California,I-880 / SR 237 Express Connector,298,Santa Clara Valley Transportation Authority,I-880,SR 237,4,6.44,Urban,880,,X,,FASTRAK/Title 21/Tiris,,HOT connector using existing direct HOV connector,Value Pricing Pilot Program,Dynamic variable: rate based on current traffic conditions,,$0.30 ,,,,
California,I-110 Express Lanes,313,Los Angeles County Metropolitan Transportation Authority,Harbor Gateway Transit Center,Adams Blvd,11,17.7,Urban,110,,X,,FASTRAK/Title 21/Tiris,,Congestion pricing & Transit Dev. Demonstration Program using existing HOV lanes.,Section 166 (HOT lanes),Dynamic variable: rate based on current traffic conditions,$15.40 ,$0.25 ,,,,
Colorado,HOV/Tolled Express Lanes,24,High Performance Transportation Enterprise,"20th Ave, downtown Denver",US 36 and Kalamath St.,7,11.27,Urban,25,,X,,AVI -  (EXpressToll transponder),,Facility is two lane reversible.,Section 166 (HOT lanes),Fixed variable: rate based on time of day,$5.00 ,$75.00 ,$0.10 ,$21.50 ,$18.50 ,
Delaware,John F. Kennedy Memorial Highway (Delaware Turnpike),28, DE Dept of Trans, Maryland Line,SR 141,11.2,18.02,Urban,95, ,X,,E-ZPass,,Tolls collected both ways N & S,,Fixed: rate based on axle/weight/price based on distance traveled,$4.00 ,,$0.23 ,$11.00 ,$6.00 ,$0.28 
Delaware,John F. Kennedy Memorial Highway (Delaware Turnpike),28, DE Dept of Trans, Maryland Line,SR 141,0.7,1.13,Urban,295, ,X,,E-ZPass,,Tolls collected both ways N & S,,Fixed: rate based on axle/weight/price based on distance traveled,$4.00 ,,,,,
Florida, Alligator Alley (Everglades Parkway),44,FL Dept of Transportation,East Naples," Andytown, US 27",78,125.53,Rural,75,"E,W",,X,"SunPass, EPass, LeeWay",,"One-stop toll configuration, a toll is collected at the West Plaza from vehicles traveling eastbound and the same toll is collected for the westbound traffic at the East Plaza.",Section 129 Toll Agreement,Fixed: rate based on axle/weight/price based on distance traveled,$3.00 ,$2.75 ,$0.03 ,$15.00 ,$5.50 ,$0.10 
Florida,I-95 Express,302,FL Dept of Transportation,I-395,"Golden Glades (TPK, US 441, SR 826)",7,11.27,Urban,95,,X,,"SunPass, EPass, LeeWay",,"Variably priced HOT lanes, Trucks not allowed.  Special conditions apply",,Dynamic variable: rate based on current traffic conditions,$7.00 ,$0.25 ,$0.13 ,N/A,N/A,N/A
Illinois,Ronald Reagan Memorial Tollway,72, IL State Toll Highway Authority,US 30 Rock Falls (W. terminus) MP 44.2,I-290 (E. terminus) MP 140.45,96.25,154.9,Rural,88,,X,,"IAG (E-Zpass, I-Pass, ETC.)",,"Fares are full length; maximum is toll paid with cash and truck fare at peak, minimum is car toll paid with I-Pass/E-ZPass and off-peak for trucks.  Average is revenue divided by vehicle-miles.",,Fixed variable: rate based on time of day,$10.20 ,$5.10 ,$0.04 ,$27.00 ,$20.30 ,$0.18 
Illinois,Ronald Reagan Memorial Tollway,72, IL State Toll Highway Authority,US 30 Rock Falls (W. terminus) MP 44.2,I-290 (E. terminus) MP 140.25,32.54,52.37,Urban,88,,X,,"IAG (E-Zpass, I-Pass, ETC.)",,"Fares are full length; maximum is toll paid with cash and truck fare at peak, minimum is car toll paid with I-Pass/E-ZPass and off-peak for trucks.  Average is revenue divided by vehicle-miles.",,Fixed variable: rate based on time of day,$10.20 ,$2.70 ,$0.04 ,$27.00 ,$20.30 ,$0.18 
Illinois,Veterans Memorial Tollway,73, IL State Toll Highway Authority,I-80,Army Trail Road,29.59,47.62,Urban,355,,X,,"IAG (E-Zpass, I-Pass, ETC.)",,"Fares are full length; maximum is toll paid with cash and truck fare at peak, minimum is car toll paid with I-Pass/E-ZPass and off-peak for trucks.  Average is revenue divided by vehicle-miles.",,Fixed variable: rate based on time of day,$4.00 ,$2.00 ,$0.09 ,$16.00 ,$12.00 ,$0.33 
Illinois  3/,Jane Addams Memorial Tollway,74, IL State Toll Highway Authority,East Rockton Road (W. terminus) MP 0.0,River Road (E. terminus) MP 0,78.54,126.4,Rural,"39, 90",,X,,"IAG (E-Zpass, I-Pass, ETC.)",,"Fares are full length; maximum is toll paid with cash and truck fare at peak, minimum is car toll paid with I-Pass/E-ZPass and off-peak for trucks.  Average is revenue divided by vehicle-miles.",,Fixed variable: rate based on time of day,$4.20 ,$2.10 ,$0.03 ,$21.00 ,$15.75 ,$0.24 
Illinois  3/,Jane Addams Memorial Tollway,74, IL State Toll Highway Authority,East Rockton Road (W. terminus) MP 76,River Road (E. terminus) MP 0,46.7,75.16,Urban,"39, 90",,X,,"IAG (E-Zpass, I-Pass, ETC.)",,"Fares are full length; maximum is toll paid with cash and truck fare at peak, minimum is car toll paid with I-Pass/E-ZPass and off-peak for trucks.  Average is revenue divided by vehicle-miles.",,Fixed variable: rate based on time of day,$4.20 ,$2.10 ,$0.03 ,$21.00 ,$15.75 ,$0.24 
Illinois, Chicago Skyway,75,"Skyway Concession Company, LLC", I-94 in Chicago, Indiana Stateline,7.7,12.39,Urban,90,,X,,I-Pass/E-Zpass/I-Zoom (Indiana Toll Road Transponder),,I-Pass only lanes at plaza.  Off-peak discount for trucks (8pm-4am).,,Fixed variable: rate based on time of day,$4.00 ,$4.00 ,$0.51 ,$29.40 ,$16.00 ,$3.00 
Illinois, Tri-State Tollway,76, IL State Toll Highway Authority,Russel Road (N. terminus),SR 394 (S. terminus),82.81,133.27,Urban,94/294/80,,X,,"IAG (E-Zpass, I-Pass, ETC.)",,"Fares are full length; maximum is toll paid with cash and truck fare at peak, minimum is car toll paid with I-Pass/E-ZPass and off-peak for trucks.  Average is revenue divided by vehicle-miles.",,Fixed variable: rate based on time of day,$5.90 ,$2.85 ,$0.06 ,$29.50 ,$21.40 ,$0.33 
Indiana, Indiana East-West Toll Road,78, IN Finance Authority/ITR Concession Company LLC, Illinois Stateline,Ohio Stateline,157,252.67,Rural/Urban,80/90,,X,,E-ZPass,,ETC installed and operational April 2008.  Tolls are full length.,,Fixed: rate based on axle/weight/price based on distance traveled,$9.40 ,$4.65 ,$0.06 ,$81.64 ,$13.76 ,
Kansas,Kansas Turnpike,83,KS Turnpike Authority,Oklahoma State Line,"18th Street, Kansas City, Kansas",177,284.85,Rural,"35, 335, 470, 70",,X,,K-TAG Transponder System,,"Travel Data and fares: www.ksturnpike.com - 2010 KTA Financial Statements with Supplementary Information. TOLL RATES ARE BASED ON NUMBER OF AXLES (AND DISTANCE), NOT ON WEIGHT. Passenger vehicle data are for 2-axle vehicles.  Commercial vehicle data are for vehicles with 3 or more axles.  Maximum and minimum fees shown are for cash.  Discounts apply for users of K-TAG Transponders (47% usage in 2010). Turnpike nominal total centerline length, based on Interstate mileposts, is 236 miles.  Mileage including connecting lengths is reported in the Highway Performance Monitoring System (HPMS). Rural/Urban split was determined based on FHWA-approved Urbanized Area Boundaries.",,Fixed: rate based on axle/weight/price based on distance traveled,$12.00 ,$0.30 ,$0.05 ,$77.50 ,$0.35 ,$0.12 
Kansas,Kansas Turnpike,83,KS Turnpike Authority,Oklahoma State Line,"18th Street, Kansas City, Kansas",59,94.95,Urban,"35, 335, 470, 70",,X,,K-TAG Transponder System,,"Travel Data and fares: www.ksturnpike.com - 2010 KTA Financial Statements with Supplementary Information. TOLL RATES ARE BASED ON NUMBER OF AXLES (AND DISTANCE), NOT ON WEIGHT. Passenger vehicle data are for 2-axle vehicles.  Commercial vehicle data are for vehicles with 3 or more axles.  Maximum and minimum fees shown are for cash.  Discounts apply for users of K-TAG Transponders (47% usage in 2010). Turnpike nominal total centerline length, based on Interstate mileposts, is 236 miles.  Mileage including connecting lengths is reported in the Highway Performance Monitoring System (HPMS). Rural/Urban split was determined based on FHWA-approved Urbanized Area Boundaries.",,Fixed: rate based on axle/weight/price based on distance traveled,$12.00 ,$0.30 ,$0.05 ,$77.50 ,$0.35 ,$0.12 
Maine, Maine Turnpike,90, ME Turnpike Authority (I-95),Kittery,Augusta,81.61,131.34,Rural,95,,X,,E-ZPass,,"E-ZPass launched 2005, replacing proprietary Transpass system.",,Fixed: rate based on axle/weight/price based on distance traveled,$2.35 ,$0.60 ,$0.03 ,$10.60 ,$2.70 ,$0.08 
Maine, Maine Turnpike,90, ME Turnpike Authority (I-95),Kittery,Augusta,23.8,38.3,Urban,95,,X,,E-ZPass,,"E-ZPass launched 2005, replacing proprietary Transpass system.",,Fixed: rate based on axle/weight/price based on distance traveled,$2.35 ,$0.60 ,$0.05 ,$10.60 ,$2.70 ,$0.15 
Maine, Maine Turnpike,90, ME Turnpike Authority (I-95),Saco I-95,Saco RTE 5,0.37,0.6,Rural,195,,X,,E-ZPass,,,,Fixed: rate based on axle/weight/price based on distance traveled,$0.60 ,$0.60 ,$0.05 ,$2.70 ,$2.70 ,$0.19 
Maine, Maine Turnpike,90, ME Turnpike Authority (I-295),Scarborough I-95,Portland I-295,0.56,0.9,Rural,295,,X,,E-ZPass,,,,Fixed: rate based on axle/weight/price based on distance traveled,$0.60 ,$0.60 ,$0.05 ,$2.70 ,$2.70 ,$0.14 
Maine, Maine Turnpike,90, ME Turnpike Authority (I-495),Scarborough I-95,Portland I-295,0.57,0.92,Urban,495,,X,,E-ZPass,,,,Fixed: rate based on axle/weight/price based on distance traveled,$2.85 ,$0.60 ,$0.03 ,$12.85 ,$2.70 ,$0.08 
Maine, Maine Turnpike ,90, ME Turnpike Authority (I-495),Falmouth I-95,Falmouth I-295,0.87,1.4,Urban,495,,X,,E-ZPass,,,,Fixed: rate based on axle/weight/price based on distance traveled,$2.85 ,$0.60 ,$0.05 ,$12.85 ,$2.70 ,$0.14 
Maryland,John F. Kennedy Memorial Highway - Express Toll Lanes (ETL),98,MD Transportation Authority (MDTA),I-895,MD 43,9.63,15.5,Urban,95,,X,,E-Z Pass,,"Under Construction, Toll Rates not set.",Value Pricing Pilot Program,Fixed variable: rate based on time of day,,,,,,
Massachusetts, Massachusetts Turnpike,103,MassDot, New York State Line, I-93 Boston,45.5,73.23,Rural,90,,X,,Fast Lane/E-ZPass,,Travel between exits 1&6 is free for passenger vehicles.,,,,,,,,
Massachusetts, Massachusetts Turnpike,103,MassDot, New York State Line, I-93 Boston,92.7,149.19,Urban,90,,X,,Fast Lane/E-ZPass,,,,,,,,,,
Minnesota, MNPass,113, MN Dept of Trans,"JCT TH-42 (Burnsville, MN)","I-94 (Minneapolis, MN)",16,25.75,Urban,35W,,X,,MNPass http://www.mnpass.org/,,Carpools and motorcycles free; trucks limited to 26K pounds.,Express Lanes Demo Program,Dynamic variable: rate based on current traffic conditions,$8.00 ,$0.25 ,$0.06 ,$8.00 ,$0.25 ,
Minnesota, MNPass,113, MN Dept of Trans,JCT 12 (Wayzata Blvd),"I-94 (Minneapolis, MN)",11,17.7,Urban,394,,X,,MNPass http://www.mnpass.org/,,Carpools and motorcycles free; trucks limited to 26K pounds.,Value Pricing Pilot Program,Dynamic variable: rate based on current traffic conditions,$8.00 ,$0.25 ,$0.12 ,$8.00 ,$0.25 ,
New Hampshire,F.E. Everett Turnpike,118, NH Department of Transportation, Massachusetts Line,I-93 Exit 14 in Concord,39.5,63.57,Rural,"93, 293",,X, ,E-ZPass,,"Open road Tolling opening May 30, 2013",,Fixed: rate based on axle/weight/price based on distance traveled,$1.00 ,$0.70 ,$0.02 ,$5.50 ,$1.80 ,
New Hampshire,Spaulding Turnpike,120, NH Department of Transportation,Portsmouth Traffic Circle, Jct SR 125 in Milton,33.2,53.43,Rural,"95, Rt 16 Connector",,X,,E-ZPass,,,,Fixed: rate based on axle/weight/price based on distance traveled,$0.75 ,$0.53 ,$0.02 ,$5.00 ,$1.35 ,
New Hampshire,Blue Star Turnpikes,117, NH Department of Transportation, Massachusetts Line,Maine State Line,16.2,26.07,Rural,95,,X,,E-ZPass,,Open road Tolling since June 2010,,Fixed: rate based on axle/weight/price based on distance traveled,$2.00 ,$1.40 ,$0.10 ,$7.50 ,$3.60 ,
New Jersey, New Jersey Turnpike (Main Line),152, NJ Turnpike Authority, George Washington Bridge, Pennsylvania Turnpike Exit,4.7,7.56,Rural,95,,X,,E-ZPass,,Toll data based on entire mainline,,Fixed variable: rate based on time of day,$11.80 ,$8.80 ,$0.14 ,$50.55 ,$33.75 ,$0.70 
